Ratings for user ID 0:
(Star Wars (1977), 5.0)
(Empire Strikes Back, The (1980), 5.0)
(Gone with the Wind (1939), 1.0)

Top 20 recommendations:
(Wrong Trousers, The (1993), 5.7498216629)
(Fifth Element, The (1997), 5.23252820969)
(Close Shave, A (1995), 5.05062532425)
(Monty Python and the Holy Grail (1974), 4.99659538269)
(Star Wars (1977), 4.98954963684)
(Army of Darkness (1993), 4.98032093048)
(Empire Strikes Back, The (1980), 4.97292995453)
(Princess Bride, The (1987), 4.95770549774)
(Blade Runner (1982), 4.91067457199)
(Return of the Jedi (1983), 4.77808141708)
(Rumble in the Bronx (1995), 4.6917591095)
(Raiders of the Lost Ark (1981), 4.63671827316)
(Jackie Chan's First Strike (1996), 4.63210821152)
(Twelve Monkeys (1995), 4.61484050751)
(Spawn (1997), 4.57417106628)
(Terminator, The (1984), 4.56115102768)
(Alien (1979), 4.54151725769)
(Terminator 2: Judgment Day (1991), 4.52948713303)
(Usual Suspects, The (1995), 4.51791191101)
(Mystery Science Theater 3000: The Movie (1996), 4.50959062576)
